STATION,STATION_NAME,DATE,HPCP
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 17:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 18:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 19:00,0.10
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 20:00,0.08
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 21:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 22:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730324 23:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 00:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 01:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 02:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 03:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 04:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 05:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 06:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 07:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 08:00,0.06
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 09:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 10:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 11:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 12:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 13:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 14:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730325 15:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730328 08:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730328 09:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730331 05:00,0.07
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730331 06:00,0.14
